"ID","Site","Small or Large","PlotID","Date","Year","Collector","PlotNum","QuadNum","RepNum","Litter depth (cm)","Moss depth (cm)"
152,"Hoskins","S","FH-49",6/21/2006 0:00:00,2006,"Joe Buttafuoco",49,0,0,0.70,0.00
153,"Hoskins","S","FH-49",6/21/2006 0:00:00,2006,"Joe Buttafuoco",49,0,0,0.30,0.00
154,"Hoskins","S","FH-49",6/21/2006 0:00:00,2006,"Joe Buttafuoco",49,0,0,2.50,0.00
155,"Hoskins","S","FH-49",6/21/2006 0:00:00,2006,"Joe Buttafuoco",49,0,0,0.80,0.00
156,"Hoskins","S","FH-49",6/21/2006 0:00:00,2006,"Joe Buttafuoco",49,0,0,0.40,0.00
157,"Hoskins","S","FH-49",6/21/2006 0:00:00,2006,"Joe Buttafuoco",49,0,0,0.00,0.00
158,"Hoskins","S","FH-49",6/21/2006 0:00:00,2006,"Joe Buttafuoco",49,0,0,5.30,0.00
159,"Hoskins","S","FH-49",6/21/2006 0:00:00,2006,"Joe Buttafuoco",49,0,0,1.30,0.00
160,"Hoskins","S","FH-49",6/21/2006 0:00:00,2006,"Joe Buttafuoco",49,0,0,1.60,0.00
161,"Hoskins","S","FH-50",6/21/2006 0:00:00,2006,"Joe Buttafuoco",50,0,0,0.90,0.00
162,"Hoskins","S","FH-50",6/21/2006 0:00:00,2006,"Joe Buttafuoco",50,0,0,1.00,0.00
163,"Hoskins","S","FH-50",6/21/2006 0:00:00,2006,"Joe Buttafuoco",50,0,0,3.60,0.00
164,"Hoskins","S","FH-50",6/21/2006 0:00:00,2006,"Joe Buttafuoco",50,0,0,0.40,0.00
165,"Hoskins","S","FH-50",6/21/2006 0:00:00,2006,"Joe Buttafuoco",50,0,0,1.70,0.00
166,"Hoskins","S","FH-50",6/21/2006 0:00:00,2006,"Joe Buttafuoco",50,0,0,3.60,0.00
167,"Hoskins","S","FH-50",6/21/2006 0:00:00,2006,"Joe Buttafuoco",50,0,0,0.80,0.00
168,"Hoskins","S","FH-50",6/21/2006 0:00:00,2006,"Joe Buttafuoco",50,0,0,0.10,0.00
169,"Hoskins","S","FH-50",6/21/2006 0:00:00,2006,"Joe Buttafuoco",50,0,0,0.30,0.00
170,"Hoskins","S","FH-50",6/21/2006 0:00:00,2006,"Joe Buttafuoco",50,0,0,0.10,0.00
171,"Hoskins","S","FH-30",6/21/2006 0:00:00,2006,"Joe Buttafuoco",30,0,0,2.30,0.00
172,"Hoskins","S","FH-30",6/21/2006 0:00:00,2006,"Joe Buttafuoco",30,0,0,0.20,0.00
173,"Hoskins","S","FH-30",6/21/2006 0:00:00,2006,"Joe Buttafuoco",30,0,0,0.00,0.00
174,"Hoskins","S","FH-30",6/21/2006 0:00:00,2006,"Joe Buttafuoco",30,0,0,0.00,0.00
175,"Hoskins","S","FH-30",6/21/2006 0:00:00,2006,"Joe Buttafuoco",30,0,0,0.00,0.00
176,"Hoskins","S","FH-30",6/21/2006 0:00:00,2006,"Joe Buttafuoco",30,0,0,0.00,0.00
177,"Hoskins","S","FH-30",6/21/2006 0:00:00,2006,"Joe Buttafuoco",30,0,0,1.40,0.00
178,"Hoskins","S","FH-30",6/21/2006 0:00:00,2006,"Joe Buttafuoco",30,0,0,0.00,0.00
179,"Hoskins","S","FH-30",6/21/2006 0:00:00,2006,"Joe Buttafuoco",30,0,0,0.30,0.00
180,"Hoskins","S","FH-30",6/21/2006 0:00:00,2006,"Joe Buttafuoco",30,0,0,0.10,0.00
181,"Hoskins","S","FH-20",6/21/2006 0:00:00,2006,"Joe Buttafuoco",20,0,0,0.00,0.00
182,"Hoskins","S","FH-20",6/21/2006 0:00:00,2006,"Joe Buttafuoco",20,0,0,0.10,0.00
183,"Hoskins","S","FH-20",6/21/2006 0:00:00,2006,"Joe Buttafuoco",20,0,0,1.20,0.00
184,"Hoskins","S","FH-20",6/21/2006 0:00:00,2006,"Joe Buttafuoco",20,0,0,2.60,0.00
